lng,lat,Status
-43.015808967,-22.821724122,PAGO COM JUROS/PAGO PARCIAL
-43.052834647,-22.911255705,QUITADO
-43.098594922,-22.932828048,PAGO COM JUROS/PAGO PARCIAL
-43.096687366,-22.934823539,PAGO COM JUROS/PAGO PARCIAL
-43.082424375,-22.851684898,PAGO COM JUROS/PAGO PARCIAL
-43.099825639,-22.934781918,INADIMPLENTE
0.000000000,0.000000000,PAGO COM JUROS/PAGO PARCIAL
-43.101756848,-22.937353137,PAGO COM JUROS/PAGO PARCIAL
-43.120397977,-22.926557832,PAGO COM JUROS/PAGO PARCIAL
-43.114824455,-22.933573215,QUITADO
-43.119736973,-22.897306033,PAGO COM JUROS/PAGO PARCIAL
-43.123097936,-22.893039177,PAGANDO
-43.121300334,-22.900936700,PAGANDO
-43.121300334,-22.900936700,PAGO COM JUROS/PAGO PARCIAL
-43.022228734,-22.930104137,PAGO COM JUROS/PAGO PARCIAL
0.000000000,0.000000000,QUITADO
-43.111767713,-22.936641401,QUITADO
-43.097382595,-22.931633060,CANCELADO
-43.100360810,-22.934537710,PAGO COM JUROS/PAGO PARCIAL
-43.101756170,-22.937354550,PAGO COM JUROS/PAGO PARCIAL
-43.121294104,-22.900930513,QUITADO
-43.100260756,-22.934501094,PAGO COM JUROS/PAGO PARCIAL
-43.100367052,-22.934519823,INADIMPLENTE
-43.121323075,-22.927470823,INADIMPLENTE
-43.114593101,-22.929039770,PAGO COM JUROS/PAGO PARCIAL
-43.120401731,-22.926556117,INADIMPLENTE
-43.083414291,-22.905521842,PAGANDO
-43.065690901,-22.892216314,INADIMPLENTE
-43.640353914,-23.000735686,PAGANDO
-43.120405868,-22.926560860,PAGANDO
0.000000000,0.000000000,PAGANDO
0.000000000,0.000000000,#REF!
-43.015808658,-22.821718146,PAGANDO
-43.052831640,-22.911256246,PAGANDO
-43.022228733,-22.930086811,INADIMPLENTE
